Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	375
dt	50.000001E-12
time stamp (ms)	2:15:44 PM
	
Time	Amplitude
3.755000E-8	2.103859E-3
3.760000E-8	2.634963E-3
3.765000E-8	3.116383E-3
3.770000E-8	3.481304E-3
3.775000E-8	3.746856E-3
3.780000E-8	3.995276E-3
3.785000E-8	4.209431E-3
3.790000E-8	4.284813E-3
3.795000E-8	4.293379E-3
3.800000E-8	4.262541E-3
3.805000E-8	4.068945E-3
3.810000E-8	3.674900E-3
3.815000E-8	3.178060E-3
3.820000E-8	2.612691E-3
3.825000E-8	1.947954E-3
3.830000E-8	1.195841E-3
3.835000E-8	3.512142E-4
3.840000E-8	-5.807883E-4
3.845000E-8	-1.504225E-3
3.850000E-8	-2.330006E-3
3.855000E-8	-3.034148E-3
3.860000E-8	-3.565252E-3
3.865000E-8	-3.853077E-3
3.870000E-8	-3.909614E-3
3.875000E-8	-3.791400E-3
3.880000E-8	-3.525848E-3
3.885000E-8	-3.124950E-3
3.890000E-8	-2.600698E-3
3.895000E-8	-1.973652E-3
3.900000E-8	-1.284930E-3
3.905000E-8	-5.533765E-4
3.910000E-8	2.073020E-4
3.915000E-8	9.696938E-4
3.920000E-8	1.704674E-3
3.925000E-8	2.376264E-3
3.930000E-8	2.921074E-3
3.935000E-8	3.332252E-3
3.940000E-8	3.635495E-3
3.945000E-8	3.803393E-3
3.950000E-8	3.805106E-3
3.955000E-8	3.717731E-3
3.960000E-8	3.604657E-3
3.965000E-8	3.392215E-3
3.970000E-8	3.015302E-3
3.975000E-8	2.552728E-3
3.980000E-8	2.097006E-3
3.985000E-8	1.644710E-3
3.990000E-8	1.163290E-3
